main_id,ra,dec,plx_value,pmra,pmdec,rvz_radvel,sp_type,otype_txt,flux
"Wolf   28",12.291243072220414,5.388609396929721,231.78,1231.399,-2711.883,263.0,"DZ7.5","WD*",12.374
"Wolf  424 A",188.32257346994038,9.021123587424446,231.1185,-1795.661,217.789,,,"PM*",
"HD 225213",1.3517851465737503,-37.35736331430695,230.097,5633.438,-2334.721,25.534,"M2V","PM*",8.562
"G   3-33",30.053984665969573,13.051944602566945,223.7321,1096.458,-1771.526,-28.34,"M4.5V","PM*",12.298
"G 3-33b",30.053984665969573,13.051944602566945,223.7321,1096.458,-1771.526,,,"Pl?",
"G 3-33c",30.053984665969573,13.051944602566945,223.7321,1096.458,-1771.526,,,"Pl",
"Wolf  424 B",188.32237406094544,9.020926471346112,223.4775,-1710.468,203.098,,,"PM*",
"GJ 687 c",264.1079137894188,68.3391415631039,219.7898,-320.675,-1269.893,,,"Pl?",
"BD+68   946b",264.1079137894188,68.3391415631039,219.7898,-320.675,-1269.893,,,"Pl",
"BD+68   946",264.1079137894188,68.3391415631039,219.7898,-320.675,-1269.893,-28.65,"M3.0V","PM*",
"CD-46 11540",262.16643990898785,-46.89519113774277,219.6463,572.568,-880.583,-2.904,"M3V","LM*",9.407
"CD-46 11540b",262.16643990898785,-46.89519113774277,219.6463,572.568,-880.583,,,"Pl",
"LP  731-58",162.05255937841667,-11.336002970408334,219.3302,579.019,-1530.076,2.18,"M6.5V","PM*",15.784
"LAWD 37",176.42882056099126,-64.84151721050888,215.6753,2661.64,-344.933,,"DQ","WD*",11.513
"G 208-45",298.4797520974621,44.41504090445889,214.5745,349.363,-480.322,5.46,"M6V","LM*",13.99
"BD-15  6290e",343.31971909853587,-14.26369557005139,214.038,957.715,-673.601,,,"Pl",
"BD-15  6290c",343.31971909853587,-14.26369557005139,214.038,957.715,-673.601,,,"Pl",
"BD-15  6290b",343.31971909853587,-14.26369557005139,214.038,957.715,-673.601,,,"Pl",
"BD-15  6290",343.31971909853587,-14.26369557005139,214.038,957.715,-673.601,-1.47,"M3.5V","**",10.192
"BD-15  6290d",343.31971909853587,-14.26369557005139,214.038,957.715,-673.601,,,"Pl",
"G 208-44",298.4770088165204,44.41426154563861,213.1329,441.562,-434.241,5.79,"M5.5Ve","PM*",13.126
"L  143-23",161.08847046423625,-61.20979871122639,206.9698,-346.208,1611.1,155.852,"M5.5V","PM*",13.92
"G 158-27",1.6799888292112501,-7.538060861407779,206.35,-811.566,-1893.251,-33.7,"M5.5V","PM*",13.837
"NAME G 158-27b",1.6799888292112501,-7.538060861407779,206.35,-811.566,-1893.251,,,"Pl?",
"NAME G 158-27c",1.6799888292112501,-7.538060861407779,206.35,-811.566,-1893.251,,,"Pl?",
"GJ 1002 b",1.6799888292112501,-7.538060861407779,206.35,-811.566,-1893.251,,,"Pl",
"GJ 1002 c",1.6799888292112501,-7.538060861407779,206.35,-811.566,-1893.251,,,"Pl",
"DENIS J025503.3-470049",43.76538627452958,-47.014265806654166,205.4251,1012.445,-554.031,,"L9","BD*",22.921
"HD  88230",152.8422497884929,49.4542363908575,205.3148,-1363.287,-505.77,-25.916,"K6VeFe-1","PM*",6.61
"BD+44  2051",166.3690706208596,43.52677415242249,203.8876,-4406.469,938.527,68.84,"M1.0V","PM*",
"BD+44  2051B",166.37868992532916,43.521634777107494,203.8323,-4339.85,960.696,70.02,"M6.0V","Em*",14.45
"WISE J163940.83-684738.6",249.920156,-68.794066,202.3,579.09,-3104.54,,"Y0pec","BD*",
"V* AD Leo",154.90117007551083,19.87000290182528,201.4064,-498.62,-43.428,12.43,"dM3","PM*",9.52
"HD 204961b",323.3915629966566,-49.008999840841106,201.3252,-45.917,-816.875,,,"Pl",
"HD 204961c",323.3915629966566,-49.008999840841106,201.3252,-45.917,-816.875,,,"Pl",
"HD 204961",323.3915629966566,-49.008999840841106,201.3252,-45.917,-816.875,13.164,"M1.5V","PM*",8.672
"G 158-50",3.8671287410784307,-16.13378620354036,200.53,731.83,-607.73,-26.43,"M4V","**",11.483
"CD-44 11909c",264.26527273611407,-44.31921291471444,199.6944,-705.945,-938.08,,,"Pl",
"CD-44 11909b",264.26527273611407,-44.31921291471444,199.6944,-705.945,-938.08,,,"Pl",
"CD-44 11909",264.26527273611407,-44.31921291471444,199.6944,-705.945,-938.08,-34.869,"M3.5V","PM*",10.946
"* omi02 Eri B",63.84081549227875,-7.658112218552501,199.6911,-2236.169,-3338.955,-21.0,"DA2.9","WD*",9.53
"* omi02 Eri",63.817998412477074,-7.652869660838334,199.608,-2240.085,-3421.809,-42.269,"K0V","PM*",4.43
"* omi02 Eri b",63.817998412477074,-7.652869660838334,199.608,-2240.085,-3421.809,,,"err",
"* omi02 Eri C",63.83973332536918,-7.655748493915556,199.4516,-2247.183,-3409.824,-45.0,"M4.5V","PM*",11.17
"V* EV Lac",341.70721358761165,44.33399288376722,197.9573,-706.216,-458.92,0.287,"M4.0Ve","PM*",10.26
"*  70 Oph",271.363688269495,2.5000988299620857,196.72,124.16,-962.82,-5.8,"K0-V","SB*",4.03
"G   9-38B",134.56311721624292,19.762732423316113,196.2619,-937.133,-34.559,13.0,"M7V","PM*",13.75
"2MASS J09393548-2448279",144.897874,-24.807762,196.0,558.1,-1030.5,,"T8","BD*",
"*  70 Oph B",271.3644289008066,2.498946996844167,195.8563,333.292,-1068.354,-10.0,"K4V","PM*",6.07
"*  70 Oph A",271.36353505499625,2.500146281931389,195.5674,206.525,-1107.492,-9.73,"K0V","SB*",
"* alf Aql",297.69582729638694,8.868321196436963,194.95,536.23,385.29,-26.6,"A7Vn","dS*",0.76
"G   9-38A",134.56281221299125,19.763405033714996,194.1443,-767.06,-100.176,14.0,"M8Ve","PM*",13.93
"2MASS J15065257+7027247",226.71850231482793,70.4569864677289,193.9412,-1194.179,1042.194,,"T6","BD*",
"G  99-49",90.0146009238775,2.706553494371112,192.0135,309.146,-40.368,30.228,"M3.5Ve","PM*",11.31
"2MASS J08173001-6155158",124.37499533622919,-61.92101628481527,191.8362,-156.451,1099.366,,"T6","BD*",
