ra,dec,sp_type,flux
207.37615211559708,-41.68770852979139,"B2V",3.386
248.93675436895998,-65.495399624,"G8/K0III",5.5
243.85946160941205,-63.68568150484638,"G2Ib-IIa",3.839
215.9524188285,-53.17624427804001,"K1III",5.993
300.46859067404,-66.94396434758,"K2IVCNII",5.331
212.39596873504,-51.50467574705,"B8V",5.961
229.41205445473997,-63.61046753678,"K2III",4.849
207.94673136308998,-46.8986665852,"B2III",5.752
204.27504599667998,-44.14320258488,"G8/K0III",5.957
251.66663166748998,-67.10969037,"ApSi",5.1
292.79571140865994,-68.43392024132,"K4/5III",5.961
223.89399859557997,-60.11416535219,"K2III",5.18
206.66407966580374,-51.43275733387334,"G8/K0III",4.632
206.91057903913998,-50.32068841778,"K2III",5.446
209.82285003298,-50.369647819709996,"G8/K0III",5.927
212.47839265528,-53.43894579245,"G9-III",4.736
213.31837715847,-53.66565920667,"K5III",5.575
280.75890139645867,-71.42811561050279,"K0III",4.003
227.37464344722997,-67.08413478494,"F5Ib",5.757
238.87333204507,-68.60300094629,"G5Ib-II",5.097
231.56134923957998,-68.30916661049,"G8/K0III",5.892
248.58060907774,-70.98810222137,"K0.5IIbCN1",5.489
310.48781888676996,-66.76068071647,"B9III",5.134
299.67204454928,-69.16395565047,"A1mA5-F2",5.724
221.32223566055,-62.87564938991,"A9III/IV",5.36
317.13623067619,-63.92825956517,"K0III",5.75
208.42955614076,-53.3733212081,"B4III",5.873
208.02025959959,-52.81152953918,"B8V",5.257
202.35522611598998,-51.16513152620999,"A1V",5.03
275.90186973745,-75.04427706908,"A0V",5.456
199.3080464675,-43.97949850898999,"A2mA4-A9/F0",5.803
297.35542879469,-72.50337812377,"A4IV",5.392
200.2404185276,-46.88000773587001,"K1III",5.742
327.50051638878,-64.71253772291,"K0III",5.62
312.3257146436,-68.77652112814,"K0III",5.407
216.77952760988998,-65.8216469733,"K3III",5.828
300.14813137628624,-72.9105035987675,"A0Va",3.94
241.48258036902,-72.4009007853,"K1.5IIICN1",5.685
222.18562482330998,-66.5935617895,"B2V",5.88
205.50451787639997,-58.78708771881001,"B9III",5.372
196.5695986005133,-48.46329070242833,"B4V",4.691
340.20382124931,-57.42231911624,"K3III",5.967
344.19916791336993,-47.96922040331,"A4mA5-F2",5.714
347.5897011042054,-45.246709468953334,"K1III",3.877
345.28157700515,-50.95002840957001,"K3III",5.672
200.15760563227,-52.74782482484,"B5III/IV",5.443
210.2185195913,-66.26891105132,"F2III",5.948
