ra,dec,sp_type,flux
358.23151328624,-3.1554815552899997,"K0II/III",5.94
336.02868471999994,-4.83701923861111,"B9.5V",5.779
339.43908560581417,-4.228054800934445,"K1.5IIIbCN0.5",5.03
328.54321982718,-4.276175894009999,"A2IV",5.704
34.246014310359996,-6.42211706136,"G8.5IIIb",5.499
23.42848215904,-7.025344111600001,"G1V",5.76
346.2910877495733,-7.693909033353332,"F0V",5.47
335.88395834895994,-7.19441227818,"G8Ib/II(w)",5.907
330.81857563765,-6.522407351809999,"K1IV",5.543
17.14746388517208,-10.18226442669,"K2-IIIb",3.45
335.04965239407,-7.8211019432799995,"B8III",5.339
11.047500376762915,-10.609550734169721,"K0III",4.767
319.54613624695,-4.519479895469999,"B7III",5.812
38.677598518539995,-7.859445169609999,"K2III",5.731
320.26799720254,-4.56012486019,"G8III",5.848
334.21903057381,-9.04005475134,"K2III",5.791
16.5214526772,-9.83935520991,"A0V",5.565
30.1117610550925,-8.523873627365,"M3II",5.51
14.682783552170001,-11.37997519234,"G8III",5.614
21.7148532012,-13.056511098460001,"F0.5V",5.505
14.00620662039,-11.266526045149998,"K5III",5.326
1.1254948012408332,-10.509521917923333,"K3Ib",4.924
357.56137358744,-9.974137041279999,"K1III",5.936
3.727147840099999,-9.56956311346,"B8.5V",5.749
2.6784754465900003,-12.57989823621,"K0III",5.849
35.506382093190005,-10.77753544788,"F3V(n)",5.421
343.36960382423,-11.616514764880002,"B8IV/V",5.78
354.41483333436,-13.06024123397,"G9III",5.654
326.63373798506,-11.36595522792,"A0V",5.567
36.48752435596,-12.290474306709998,"A0V",4.866
320.73441025837,-9.31932802474,"K4/5III",5.965
12.356737188020002,-13.56127105275,"K3III",5.594
39.89082255350083,-11.872097675596667,"F5V",4.87
350.6632130313913,-15.039340144189019,"A3V",5.22
354.94612245626996,-14.22215365198,"A7IV",4.977
1.0824617326100001,-16.52903661857,"K0III",5.769
358.12496110269,-14.251211620359996,"K2III",5.848
355.6806054328888,-14.544905529166666,"B9.5V",4.484
2.81607516478,-15.467977907889997,"F8VFe-0.8CH-0.5",4.89
321.0478825495599,-12.87810896497,"F0V",5.476
30.744040052609996,-15.305930166030002,"K0II/III",5.864
41.030615664194166,-13.858688724180276,"B8IV",4.236
341.92820610903,-14.05642813664,"B9V",5.681
336.11274960446826,-13.529369781918055,"G7.5III",5.752
334.75308664587,-13.30499271708,"K0III",5.959
0.9349492958375001,-17.335991442864444,"B9IVn",4.536
334.2001908858799,-12.831432882360001,"K1III",5.333
3.6600704726100006,-18.932863353932504,"M1III",4.46
11.930088297499998,-18.06133799289,"K3III",5.693
23.65741115869,-15.676360742500002,"A1V",5.607
10.897378736003901,-17.98660631592891,"G9.5IIICH-1",2.01
11.18498385271,-22.006133366990003,"F3VFe-1",5.22
325.76832108434,-14.39971028135,"A9/F0V",5.879
355.39370232905,-18.027074353820005,"K4/5III",5.344
326.00401721056,-14.74937218483,"A7IV/V",5.949
355.44085990105,-17.81653194641,"G2Ib/II",4.83
357.83890973611375,-18.909164140351667,"A0VpSiSr",5.18
353.3192590454091,-20.914495039034996,"A0V",4.758
345.68437711164,-20.870711749309997,"K0III",5.976
318.93684309798,-15.17150133814,"M2III",5.317
325.6646170042121,-18.86632088422667,"G8III",4.726
36.646738519950006,-20.04261697141,"K2III",5.881
332.24579301299,-18.519593397010002,"B2III",5.793
22.40056538389,-21.629336103290004,"A0V",5.104
30.001285296691666,-21.077831669502782,"M0III",4.02
29.94250000685,-20.824538573069997,"M1:III",5.429
33.25411474602,-21.00013472042,"K0III",5.867
12.30812591117,-24.136664070259997,"K0III",5.9
1.94541494525,-22.508556993,"A1VbmA2_lB",5.923
323.71271763191,-20.08426080606,"F5VFe-0.8CH-0.4",5.696
335.39820057389,-21.59823011411,"K0III",5.124
347.47870627107613,-22.457606905887776,"G2III+A2V",4.8
42.759696298533754,-21.00401153253444,"K0III",4.77
316.4867853131225,-17.232862837423333,"A1V",4.07
324.27012965392,-19.466011222169442,"B3V",4.55
22.59543738176,-26.20785162607,"K2III",5.926
318.90791479859,-20.65169521012,"K0II/III",5.152
325.50290452379,-23.26285717881,"K0III",5.24
3.4260174079499994,-26.02235135742,"K5III",5.937
321.03997166228,-20.85186990286,"K0III",5.366
6.811281520710001,-25.54717346361,"K0III",5.969
43.39717638096,-22.376311567229997,"G8/K0III",5.931
321.81175708289,-21.19621434535,"K3III",5.76
333.435139645,-25.18090377607,"F7II",5.584
14.65149693501667,-29.3574533863875,"B7IIIp",4.27
8.42100578026,-29.558277501109995,"K1III",5.541
359.86623274169,-29.485165487130004,"K5III",5.573
0.58302942717,-29.72044125463,"B5IV",5.022
357.23144264722794,-28.13027124748695,"A0VankB9((_lB))",4.57
5.379992740239999,-28.98147020636,"K0III",5.167
44.52388741507,-23.60601042793,"K2III",5.809
320.75206122297,-22.66904678252,"M0III",5.6
347.43595977357,-28.088569406940003,"K2III",5.868
22.93022665347834,-30.28309789866806,"K0III",5.788
347.08774462098995,-28.823700840799997,"G8III",5.6
31.122689823389166,-29.296804696866115,"B9.5IIIspSi",4.69
355.15895331927,-32.07312418005999,"K0III",5.303
15.610129411270002,-31.5520138252,"A1/2IV",5.501
42.47576098675,-27.941983186010003,"A1V",5.377
33.22695832342,-30.72382604363,"A0V",5.26
4.036944674,-31.446390935460002,"K2III",5.642
2.01452874993,-33.52932471582,"K1III",5.662
349.7059899949562,-32.5320219169586,"K1III",4.406
343.98708414699,-32.53962393681,"G8III",4.208
324.04572385261,-26.17151576556,"A7/8IV",5.725
339.14766721076,-31.663790803019996,"K2III",5.808
57.14782369555001,-37.622003447270004,"A1Va",5.25
345.87423107535,-34.74941542453,"F1VFe-0.8",5.124
21.7420579928,-32.54317756523,"C-N5+",5.72
24.614516258279995,-36.52825018887,"K0III",5.939
18.18930199805,-37.85647767453,"A9(IV)(+F/G)",5.934
39.5777557365,-30.194064071630002,"F6VFe-0.7CH-0.4",5.829
39.03860331011,-30.04497832598,"G8/K0III",5.729
318.32219709392,-27.619364065149995,"K3III",5.388
332.48208802449994,-34.01496600251,"A5IV",5.371
25.512474237019998,-36.83230375444,"A0V",5.698
15.326147515519999,-38.9165284217,"K1III",5.582
316.50474179211,-30.12514533774,"K0/1III",5.687
337.1633760344,-39.131790640030005,"G8III",5.473
348.74424947786997,-41.10539455986999,"K2III",5.768
349.54118352278994,-40.82436196499,"F4V",5.537
329.09487781906,-37.25365462157,"A3V",5.443
315.32278484967463,-32.25773009806862,"G8III",4.654
323.06070734584995,-33.94462598285,"A2V",5.958
316.60282206993,-32.341618958450006,"K2III",5.196
16.94926386608,-41.48684313569,"A1(V)+F1(V)",5.207
21.169943891490004,-41.492545635540004,"K0III",5.417
321.59531039068,-37.8294305069,"K2III",5.62
339.24522230854,-40.59103502877999,"A1V",5.874
329.82463316208,-38.39509523727,"K1II/III",5.495
318.32900644752,-36.42352823035001,"K0III",5.954
333.90382843591,-41.34676263147,"G8III+G",4.798
132.46455656227,-32.78053701398,"G8III",5.194
331.52868672390497,-39.543353005568605,"K3III",4.458
347.4889458200733,-42.86124188860445,"F5V",5.83
132.34052434578,-3.4430253995299998,"B8IIIpHgMn",5.31
134.14219417796,-16.708749141420004,"K3III",5.929
133.84844248935084,5.945565210399724,"G8.5III",3.1
133.9814460193,11.626024724329998,"K5III",5.44
134.62168421127,11.8576804028,"kA7VmF0/2III/IVSr",4.249
133.91533538552,27.927482181129996,"G8III",5.225
131.59393502428,-13.54772364866,"G8IIIbCN-1",4.32
129.46730329812,-26.255000126109998,"A0V",5.27
130.02559701234668,-35.308355114771395,"G5II/III",3.954
134.88606074984,32.418559306780004,"G9III",5.22
134.23582366197,32.91042794268,"A7IV",5.436
129.68932270518832,3.3414351882730555,"K1III",4.43
129.41403113663,5.70378776223,"A0Vnn",4.131
130.91822701949124,-7.233728474508057,"G1Ib",4.625
131.81244095145,-1.89703689817,"A0V",5.279
132.10821118485208,5.837812490561667,"A0Vn",4.337
130.82144642293792,21.468498799990275,"A1Va",4.652
129.57908811702,32.80201682758,"K2III:",5.95
128.86749495767,-7.9822938393800005,"A1VpSrCr",5.72
127.2125108679,-9.74858678707,"F3/5III",5.989
126.67480302689,-12.53460415238,"K1/2III",5.52
127.61921216343002,-32.15928297679999,"K3III",5.588
128.17706751071,20.441162241020002,"K3III",5.325
127.15558131684,14.21082424424,"A5V",5.948
129.27403693521,9.655578089720002,"A3V",5.91
126.61335804596419,-3.9874303180216666,"F0VmA6",5.59
128.68285268588,36.41962006215999,"A2Vnn",5.751
126.61544183214,27.893580644769997,"K5III",5.57
124.57248002219998,-35.45170455848,"K2III",5.578
127.87716449453,24.08110770302,"F0IIIn",5.694
125.34594178783,-33.05436507907,"K2+IIIa",4.8
126.14589243887998,-3.7512424922400003,"F6V",5.61
126.41513277136585,-3.9064272186819444,"A0Va",3.9
126.48162523151998,-14.92966121014,"A3(m)A3-A7",5.951
126.26559147792,-24.046219377159996,"K4.5IIICN0.5",5.301
125.72539397794,-7.54312191002,"M2III",5.918
126.2299149134,-23.15374523618,"A1III/IV",5.669
126.32917392875,-21.045956268949997,"F2V",5.987
125.13390147397001,24.022311148900002,"B9.5V",5.93
125.08738303788002,20.74772120559,"K1III",5.798
122.83955595925998,-39.61854410984,"K4.5Ib",4.42
126.47819608049001,7.56450404808,"G6III-IIIaFe-1.5",5.122
123.37298864750126,-35.89951823549249,"B1V",4.77
123.55523425451,-35.49001878514,"K1III",5.765
122.25681828545373,-19.245033974607498,"B5V",4.393
121.82516665102003,-20.5543431515,"A3Ib/II",5.338
122.88751843737,-7.77253902531,"G7III-IIIb",5.354
123.2869502501,29.656537988909996,"B8VpSi",5.605
121.26870430222,13.11821651265,"A1V",5.136
121.5766480598,22.635487654900004,"M3III",5.99
121.94106771398005,21.58181300396,"G1IVb",5.3
122.14853373998083,-2.9837876605491664,"G2Ib",4.33
118.26461098387001,-36.36376820744,"K1IIICNII",5.418
120.40635921274999,-37.28372103541,"A3IV",5.893
119.86822163398753,-39.29691741539861,"F3V",5.224
120.76733638377003,-32.46354912004,"K2/3III",5.808
119.41710944213999,-30.33457124228,"A7III",4.79
119.77381262427,-23.310396533719995,"G9IIa",5.11
119.96686484006,-18.399216912030003,"A1V",4.61
118.19940212642791,-5.428136048959445,"F5IV",5.765
119.93397109641002,-3.679585669759999,"K1III",4.934
120.30556233273833,-1.3926069037644446,"K4III",4.68
120.30790951171001,4.87986726041,"A1V",5.64
116.85413566343001,-38.51114179516,"B2IV/V",5.068
116.54393424337,-37.93367765442,"B5V",5.869
115.31588573765,-38.53353312559,"B3V",5.393
117.31103949739999,-35.243286252989996,"B9V",5.936
116.14242928401,-37.942919581640005,"B8V",5.87
115.79992996089999,-36.0500899699,"B5V",5.585
115.95195672770251,-28.95482621033833,"A4Iabe",3.93
116.04035957875999,-36.06250530421,"F0IV",5.784
115.88494452232,-28.41088574833,"K5III",4.59
117.25697385570999,-24.912247143849996,"G1.5IIIFe-0.5",5.313
115.70063491152,-26.35132650598,"K1III",5.628
117.02153597080543,-25.93716960934917,"B1IVe",4.49
117.92927037884,-21.173660095829998,"G9III",5.607
116.80230951741,-22.519509722570003,"B1/2V",5.87
117.32355646601665,-24.859783879637224,"G6Ib",3.3
116.48695651906002,-14.56380519564,"F2V",5.026
117.54406852993,-9.183441935519998,"K2III",5.598
118.07866213611999,-14.846177928329999,"F1Ia",5.689
116.37139699746,-14.690534724779997,"A5/8",5.997
116.56750514761,10.76825170496,"A1Vnn",5.237
117.42167260860002,-17.22840846556,"K3III",5.162
115.39647932105,3.6247791288299993,"B9.5IV/V",5.942
115.51340867915003,14.20850619719,"M3+II-III",5.56
115.4660263063,13.480456056860001,"M2III",5.8
114.99162956189,-37.579424278110004,"B5IV",5.996
114.94947883364,-38.26065232835,"B3III",5.747
113.46267307913001,-36.33839242677999,"B2Vne",5.44
114.34212409285259,-34.96853080332605,"B8IV/V",4.53
114.68291098197,-36.496832824310005,"B3III",5.8
114.86391100082002,-38.30802345296194,"B3V",4.84
112.67750823300001,-30.962280535559998,"G2Iab/b",4.65
115.05636920919001,-19.660860114159995,"K0III",5.921
113.33151923514,-19.41252566428,"K0III",5.63
114.17098015983,-19.70234028338,"B2III",5.699
115.09671017844005,-15.26391964179,"K3III",4.951
112.69779651893,-9.77687707708,"G8/K0Ib/II",5.82
113.02401215188002,-8.88132645862,"G0VFe-1.6CH-0.5",5.916
113.56621917976,3.3717243208,"B9V",5.817
114.31954594257,-4.11098163128,"F6III",5.131
113.02478678059,1.91447967575,"F0V",5.233
113.29860726374,3.29037918403,"F1III-IV",5.571
113.40201192934876,15.82666451063528,"A1Vp",5.263
113.98062505905,26.8957444986,"M0III",4.06
115.24382743493001,23.01852863277,"K5III",5.906
113.78668011765,30.96091795651,"K0III",5.347
111.02375950100142,-29.303105508471724,"B5Ia",2.45
112.27047814001001,-31.456217921640004,"B2IV",5.768
111.99649950784,-29.155898710219997,"B9V(pSi)",5.542
109.71364057652,-26.58585586451,"G2Ib",5.288
111.1827256523421,-31.80890474440223,"K1+III",5.28
111.67694015411,-34.14069429493999,"B3/5V",5.884
110.26805031417,-25.891644920390004,"M3-III-IIIa",5.886
111.35528232038,-25.2177650869,"B5III",5.782
111.74784452361,-23.08602491098,"B0.5IVe",5.56
110.87080257774,-27.834294832660003,"K4III",5.356
110.55637222219082,-19.016601219997224,"B5II/III",4.95
110.24285415208,-14.360490199369998,"G8/K0III",5.584
109.84322667809002,2.74067606984,"K0III",5.887
112.3569207766144,-7.5512361294434,"F6V",5.853
110.60579136620001,-5.9828289142,"F2III",5.816
112.3421147007,-10.326666729929999,"K4/5III",5.706
112.32778360260001,-1.9053254119300005,"K3/4III",5.572
111.73470184051,20.25755477192,"F2Vn",5.935
111.24241675114,11.669522913139998,"A5IV",5.361
110.48692412764,20.443658132479996,"M0III",5.08
111.4120820166,9.276090422389998,"G6IIb",4.986
107.21278393703878,-39.65565530021945,"B3IV/V",4.83
111.03528149538,40.67238885597,"K0.5IIIa",5.188
110.86879707615,25.05053128344,"G8II",5.022
109.63963547289,-39.21028419722,"A0V",5.243
109.13270760601,-38.31892240331,"B4V",5.797
109.94852225913002,7.1429477496,"F8IV",5.91
109.57663990648459,-36.73395236853278,"B2V+B3IVne",4.67
109.65910581468002,-36.74273748114,"B3Vne",5.11
109.20586760064002,-36.59263290687,"B3V",5.009
108.83778388794,-30.68644939833,"B2V",5.337
108.71317170891001,-27.03799518312,"K5III",5.582
107.58050321567002,-27.491519156640003,"G9III",5.448
107.92335322934,-20.88306099399,"A0IV/V",5.825
108.05089461894002,-25.942587800760002,"B2IV/V",5.897
108.56466389371,-9.947532914840002,"K1III",5.882
108.93017361002,-10.58360286278,"K0III",5.94
107.55700626103001,-4.237106959790001,"K0III",4.92
108.10990093406,24.12859388949,"F5III-IV",5.85
108.34281597940002,16.15896421893,"M4III",5.0
108.63592026803002,12.11582402931,"G6III",5.702
106.95620413879,7.47121472539,"K0III:",5.739
107.09183131044,15.930676617520001,"G8III",5.476
105.988813423455,-43.608034961019165,"G1.5V",5.28
108.58359473584,3.11141726386,"K0III",5.343
105.75613058900544,-23.833293974200288,"B3Ia",3.02
106.84411415091,-23.84071495219,"B3Vne",5.83
107.78487630737042,30.24516376985388,"K2III",4.42
105.27477609805,-25.21563380835,"B2/3III/IV",5.635
104.64957848448,-25.414153706350007,"B2V",5.583
104.65645315148348,-28.972086157360806,"B1.5II",1.5
105.42978350186792,-27.934830340443888,"K5Ib",3.47
105.93955612216459,-15.633287003608888,"B8II",4.12
105.09898544447002,-8.406818507470001,"B8III",5.939
106.02186390366,-5.3239751459699995,"G8IIICNII",5.602
105.48493171682001,-5.7220631309600005,"K5III",5.192
104.73760159247,3.60235571945,"K0II/III",5.947
106.84332750636001,34.00928883292,"K4III",5.93
105.06593071840001,16.07899588528,"K3-Ib",5.69
104.10763680909,9.956573690559999,"B8Vn",5.897
105.82464262703,9.138357838330002,"A3Vs",5.953
106.54829901809002,34.473967846079994,"G8IV",5.551
105.60324996883,24.2154462533,"G5IIa",5.181
102.92675305616,-36.23027219405001,"A3V",5.94
103.76140835122,-20.4048771756,"A2V",5.792
103.90596016133,-20.13649690453,"F1.5V",4.664
102.59728439913,-31.7060578637,"B6IVe+A",5.747
101.83916367212,-37.92969722748,"B8V",5.26
104.0342691434642,-17.05423863054111,"B3Ib",4.385
101.66256708990001,-10.107359743220002,"A0IIIe",5.646
101.90508740908,-8.998502719730002,"M1Ib-IIa",5.062
103.54749525536,-12.038628101049998,"K3/4III",4.08
101.49747546102,-14.796129019729996,"A1IV/V",5.298
101.71288465562,-14.42597548303,"B8/9III",5.272
103.60271451233,-1.1269469964700003,"A3V",5.435
102.07944289218,-1.31892339786,"F0V+",5.731
102.31835743151001,-2.27204733194,"B8V",5.75
103.20612846857001,8.3803970908,"F0Vn",5.742
103.66099228198793,13.177845317954445,"kA8mF0Vp",4.715
102.60624439025,13.41317871781,"K3III",5.672
102.88769326208,21.76114529117,"A2V",5.259
102.42213944981,32.6067597106,"K2/4III",5.708
102.69143033957,41.781230547750006,"K3III",4.975
98.64721200552,-32.71625298,"B8IVe",5.61
99.09521767726001,-18.65990398514,"G8/K0III+F/G",5.695
99.81966430456,-14.145761875750003,"K2+IIIaCN0.5Ca1",4.812
99.1941585581,-13.321021254489999,"K4/5III",5.939
100.48493858445,-9.16753478081,"K5III",5.194
99.4484087819546,-32.33973346719,"K1III",5.258
98.45616691726,-36.23202640844001,"K3III",5.405
100.27267068314,0.49532234044,"B8III",5.765
99.59587721595001,28.984337537740004,"B9Mn+F0m",5.744
98.80025901727001,28.022310803930004,"A0Vnn",5.26
99.94882152862,12.9827697938,"A2V",5.978
98.08907307559,-37.69672370210999,"G8III",5.253
99.70491833077,39.90255952769,"B8III",5.331
97.80455602497001,-35.25885726744001,"G8IIb+A3III",5.82
97.54698446422,-10.08151264284,"K1III",5.909
95.98297427492,-25.57763161416,"K5III",5.6
97.84602339767,-12.391974910980002,"K1III",5.153
96.98986680181083,-4.7621476108591665,"B2V",5.041
97.95860089202,-8.15822198496,"K2III",5.411
96.80733781849,0.29924419928,"K1II",5.186
96.66495771018002,-1.5073330856,"A1V",5.854
96.81496350142,-0.27600142247,"K2/3III",5.538
98.40800582085,-1.2201536769699999,"B5IV/V",5.079
98.08001622857,4.85599827378,"K0III",5.83
96.30416531705,7.08571071747,"G3Iabv+A0p",5.98
98.11326986060001,32.45489789697,"kA3hA3mF0+kA3hA3mF0",5.829
98.400685134,14.155164698739998,"K2III:",5.553
97.95124473263,11.544411766650002,"A5Vp",5.21
95.74011192619564,22.513582745904277,"M3IIIab",2.87
97.14203410228626,30.493035999127777,"F5.5-G0Ib",5.55
94.71076045328,-9.390018230320003,"K1.5III",5.352
94.03204763378,-16.61800651764,"B2/B3Ve",5.91
94.13806452051917,-35.14051510013389,"G9IIIbCN0.5",4.37
95.15099912862,-34.14414357456,"B3V",5.521
93.78501010769001,-20.27218456141,"K2III",5.868
93.82386232433,-18.47724073497,"K1III",5.984
94.92065312954,-34.39659084816,"B9V",5.749
94.28984611246001,-37.25355262887,"A2Vn",5.872
94.55720199962,-19.966973580909997,"B2/3V",5.501
94.14828345292,-39.26439311866999,"A5II",5.983
92.96589306886,-6.55028342077,"B2V",5.04
94.92833349119,-7.82290591822,"B2V",5.252
94.27758283363,9.942393052579998,"A2V",5.386
93.65292793118,-4.568455896249999,"B5II/III",5.819
93.85470150666,16.143165284179997,"B7V",5.327
95.01759990923,14.651129548359998,"K5III",5.658
93.71935536055373,22.506787327170834,"M2IIIa",3.28
93.00558915104,19.79054153134,"B9.5V",5.749
92.24112241124,-22.42739337425,"A0V",5.48
91.63373493248,-23.11084837248,"A2V",5.46
91.76528953307,-34.31202217808999,"B5Ve",5.836
91.52308021766,-29.758624062130004,"A1V",5.784
91.92349226942,-19.16586655297,"M1III",5.279
92.39384980046,-14.58461809038,"K2III",5.555
91.66140159993,-4.1938356597799995,"B4III",5.362
90.97993487768,20.13845226149,"B2Ia",4.63
92.38515413698,22.190265009410002,"K4III",5.904
91.8930213474954,14.768475205429999,"B3IV",4.397
90.86401642466,19.69056282255,"B8V",5.13
89.05946513785,-22.839976160269995,"K0/1III",5.945
88.71867915158,-39.957859615130005,"M0III",5.543
88.87464508704,-37.12068315822,"K1IIICNII",4.961
89.65644605053,-44.034560315899995,"G8II",5.802
88.13827100325,-37.631061873449994,"K1III",5.615
88.68179404027,-11.774193908749998,"K4III",5.613
88.87571478683,-4.61654448427,"K1III",5.857
87.55443919838,4.423405639449999,"K3III",5.936
87.84159848051,-7.518003030749999,"B2V",5.341
89.60184591329,1.8371083815899998,"A8V",5.886
88.68348584556,0.9686156470400001,"K0II/III",5.975
87.62511429562,2.0247029092500006,"K1III+A0/1",5.976
88.59576245541668,20.276172788333334,"G0V",4.4
87.38720972302957,12.651322412640832,"B9V",4.875
88.09752654564,19.867847271519995,"K0IIb+B8IV",5.985
87.25404562438,24.567460751190005,"G9III",4.873
87.74212581701,27.96786198373,"G7III:",5.582
88.33185937942498,27.61226194180028,"A0V+A0V",4.552
89.49857057937459,25.953912167651104,"B1Ia",4.82
87.76015536901,37.30556969497,"M0III",4.74
85.8402955163,-18.557475454980004,"A0V",5.727
86.73892235277415,-14.82195015846389,"A2IV-V(n)",3.525
86.115794237325,-22.448385487848334,"F6V",3.6
85.5581615811,-22.373714025280005,"A2/3V",5.89
84.68136530257,-40.70731026029,"B8V",5.804
84.91225429958334,-34.07410971972223,"B9Ve",2.65
85.7246422625,-6.796168401388889,"F5V",5.965
84.72117993594,-7.212829772149999,"A4Vn",4.8
84.87979410772,-3.5647041898000005,"A9V",5.974
86.71722598343,9.52233982787,"G8III",5.768
84.50466187883,7.54141668744,"B8III",5.852
84.93416997617,25.897094451389997,"B3IV",5.166
84.68652242855,-2.60007866108,"O9.5V+B0.2V(n)",3.79
84.65868790249999,30.492418163333337,"A2.5V+F6III",5.406
84.82630647296,29.21521912581,"B2IV-V",5.984
84.41118926291666,21.14254411222222,"B1IVe_shell",3.03
83.28078088357,-35.139374215749996,"K0III",5.758
81.77213161835,-40.94352417905001,"A5mA5-F2",5.847
82.06389586107,-37.23076323875999,"A0V",5.552
83.21422089331,-38.51336962498,"K2/3III",5.456
83.76117628813041,-6.002030097000834,"B0.5V",4.72
82.78178288669,-20.86365767743,"A0V",5.525
82.06134536679916,-20.759443885748333,"G5II-IIIa:",2.84
83.91451731516,-4.8560665491,"A9IV/V",5.234
83.00166705557675,-0.29909510708333326,"O9.5IINwk",2.41
82.34868594038,-3.4463931662099996,"K1-IIIFe-0.5",5.78
83.51686472838,-1.47024238146,"K4III",5.895
82.47822588061,1.78925924689,"B2V",5.745
81.94003372563,15.874050497600004,"B9.5Vn",5.515
83.47617711541,14.305567720220001,"B3V",5.593
81.79206161643,17.96221126321,"B5V",5.404
82.60901566315,15.360447159719998,"A3Vn",5.934
83.86304857929709,24.03959602108222,"B2.5IV",5.38
81.90868401411792,21.936968078639445,"B2.5V",4.868
81.57297133176498,28.607451724998228,"B7III",1.65
81.78446816178,30.208602732489997,"B9Ib",5.72
79.89384295078916,-13.176769401368889,"B0.5V",4.29
81.70334836509,34.39180684884,"A1p",5.905
81.49927158933,-19.695403028980003,"F5V",5.817
79.41767462626,-13.51982671585,"G8IV",5.488
79.9959299667,-12.31558626441,"B7/8V",5.284
82.70271312383,41.46199221078,"K0.5IIIbCN0.5",5.991
79.37120307901542,-34.89520076723778,"K1IV",4.83
81.18678077013,1.8464449765800002,"B1Vn",4.96
79.84868759155,-27.368884504409994,"A0V",5.972
80.38268332444,-0.41649286714,"B5II/III",5.68
80.44061398642,-0.38246687060999995,"B2IV",4.74
81.12040407519,-0.89133481924,"G9III-IVBa0.5",5.072
80.4315099249,8.428555355439999,"B1V",5.8
80.70834994391,3.5444587383899995,"B2IV/V",5.0
79.01722775685,11.34135505115,"A0V",5.515
78.85164248557,32.68759991105,"A8III",5.0
81.16049893201,31.143148339779994,"B9III",5.925
81.16308949573,37.38534910029,"K3IIICN+2",4.996
79.07562221034,34.31231789,"O9.5V",5.96
80.00383791342,33.95805412730001,"A5II+",5.03
80.45173560495,41.8045720426,"B4V",5.207
76.85401324417,-12.49127042479,"G0IV",5.956
75.9719660309,-24.388147513309995,"A2IV",5.582
78.20053726893,-6.05718940505,"G7III",5.892
78.68353793816,5.15614675406,"K4III",5.494
76.9516651361,20.41837644628,"A5IV",5.28
77.18207796725,-4.456208286160001,"F5.5VkF4mF2",5.119
77.82990136466,-2.49078245837,"F5V",5.892
77.42482144179,15.597213047200002,"F2IV",4.82
76.14228828818082,15.404102144530556,"A1VpSiCr",4.661
77.92318365680417,16.045674973157777,"K5III",5.163
77.02759314779,24.265174608780004,"B2V",5.5
78.35717509811,38.48449878275001,"A4m",4.821
74.98223662798,-12.53741678567,"F0V",4.77
75.54092304784,-26.27502794006,"K1III",5.002
74.96022282619,-10.26331016339,"G4IV-V+DA",5.39
73.77843432822,-16.740666319009996,"G8/K0III",5.688
75.35658563567,-20.05191896613,"B9V",4.885
74.10077803833,-5.17135679291,"B5III",5.482
75.68741198181,-22.795052603429998,"K1IV",5.738
75.68914511597,-4.210121139389999,"K2IIIbCN1",5.853
75.45980285334,0.72210932878,"K2III",5.908
73.56290435241,2.44067165846,"B2III",3.73
73.71128753819,0.4671664261099999,"B5/7II",5.965
73.34489101338417,2.508224484701389,"M1III",5.324
74.63709287275,1.7140135367600002,"K2-IIb",4.459
75.59501857598,-31.771334112430004,"K2III",5.903
73.69909180013,7.779096308639997,"K1III",5.324
73.6953965534,11.425983064750001,"A3V",5.184
74.53913355463,25.05040692164,"A0V",5.785
74.34310357125,17.15366618407,"K1III",5.49
73.72386707883084,10.150834290816942,"A0Va_lB",4.648
73.15825144049,36.70318808734999,"K3-IIIBa0.4",4.779
73.19632077549,27.89748982994,"F2IVn",5.961
71.02216969763,-8.5035701902,"B2(V)nne",5.81
71.26733764243,-21.28338181567,"K4III",5.692
72.13555678588,-16.329486473449997,"F8V",5.755
70.7887207319,-30.765560174459996,"K3III",5.663
72.54840064932,-16.21715991045,"K0III",5.028
70.56124685498,22.95690281483,"B3V",4.258
72.47765909158625,37.488279635840286,"K3+III",4.867
72.3035300146,31.43737438307,"K1III",5.578
70.33233932781,28.61498841181,"A2V",5.729
70.01424971305,12.197612973030001,"B8IV",5.445
67.66804007296,-35.65351036067,"K0II",5.95
68.15647389149,-3.2095402311200005,"B9III",5.81
67.9694526219,-0.04401106574,"K0/1III",4.896
69.07975799391498,-3.352460484701945,"B2III",3.928
69.40055253787,-2.47354881285,"F0IV",5.209
69.78843010869,15.799836456019998,"kA4hA5mA7",5.076
69.56595901186,20.684724857009996,"B8V",5.842
65.773595174,-24.89213949775001,"K5III",5.796
67.16265529629,-19.458873136619996,"K2III",5.933
65.17186819176,6.1307917763,"G8III-IV",5.751
65.96593970003681,9.460970529437562,"A3V",5.098
65.17847543305,-7.592496030900001,"B7II",5.838
65.92021681301,-3.7454680670199996,"A1V",5.165
66.65154769028,14.7137818582,"G7IIIFe-0.5",4.69
67.27885587423,-13.04836882478,"B2(V)ne",5.41
64.9904357136,14.03520339208,"F0IV",5.568
67.1098746163,16.359674945809996,"K1IIIb",4.969
67.14374134289625,15.962283658173055,"G9IIIFe-0.5",3.84
64.90293703909,21.77349078551,"A0VpSi",5.346
66.8227117865,22.99632727822,"B7V",5.514
64.85873995604,21.142305268929995,"B9Vsp",5.482
64.94834968291876,15.627642051424726,"G9.5IIIabCN0.5",3.65
67.15416772966458,19.18043420581389,"G9.5IIICN0.5",3.53
66.12148060809,34.13075773628,"B8V",5.718
65.88485952435,20.98204502355,"B8IV-V",5.986
65.06010695908,41.80811889589,"K0III",5.958
